Countries and areas,Low birthweight     (%) U 2011-2016*,Early initiation of breastfeeding (%) 2011-2016*,Exclusive breastfeeding <6 months  (%) 2011-2016*,"Introduction to solid, semi-solid or soft foods 6-8 months (%) 2011-2016*",Minimum acceptable diet 6-23 months (%) 2011-2016*,Breastfeeding at age 2 (%) 2011-2016*,Stunting (%) moderate & severe 2011-2016*,Overweight (%) moderate & severe2011-2016*,Wasting (%) moderate & severe 2011-2016*,Wasting (%) severe 2011-2016*,"Vitamin A supplementation, full coverageΔ (%) 2015",Households consuming salt with iodine (%) 20112016*
Guinea-Bissau,11,34,53,71,8,51,28,2,6,1,87,26
Guyana,14,49,23,81,40,41,12,5,6,2,,43
Haiti,23,47,40,87,14,31,22,4,5,1,21,16
Holy See,,,,,,,,,,,,
Honduras,10,64,31,70,54,43,23,5,1,0,,
Hungary,9,,,,,,,,,,,
Iceland,4,,,,,,,,,,,
India,28,42,55,52,10,67,38,2,21,8,53,93
Indonesia,9,49,42,91,37,55,36,12,14,7,82,92
Iran (Islamic Republic of),8,69,53,76,,51,7,,4,1,,
Iraq,13,43,20,36,,23,23,12,7,4,,55
Ireland,5,,,,,,,,,,,
Israel,8,,,,,,,,,,,
Italy,7,,,,,,,,,,,
Jamaica,11,65,24,55,,31,6,9,4,1,,
Japan,10,,,,,,7,2,2,0,,
Jordan,13,19,23,92,33,13,8,5,2,1,,88
Kazakhstan,6,83,38,67,45,21,8,9,3,1,,94
Kenya,8,62,61,80,22,53,26,4,4,1,37,95
Kiribati,8,,69,,,82,,,,,,
Kuwait,8,,,,,,5,6,3,1,,
Kyrgyzstan,6,83,41,85,36,23,13,7,3,1,,99
Lao People's Democratic Republic,15,39,40,52,,40,44,2,6,2,88,80
Latvia,5,,,,,,,,,,,
Lebanon,12,41,27,,,11,17,17,7,3,,95
Lesotho,11,65,67,83,11,30,33,7,3,1,,85
Liberia,14,61,55,46,4,44,32,3,6,2,61,91
Libya,,,,,,,21,22,7,3,,
Liechtenstein,,,,,,,,,,,,
Lithuania,5,,,,,,,,,,,
Luxembourg,7,,,,,,,,,,,
Madagascar,16,66,42,90,,83,49,6,15,6,97,68
Malawi,14,76,61,89,8,72,37,5,3,1,16,78
Malaysia,11,,,,,,18,7,8,,,
Maldives,11,64,48,91,,68,20,7,10,3,79,
Mali,18,53,33,42,3,53,30,2,14,3,88,81
Malta,7,,,,,,,,,,,
Marshall Islands,18,73,31,,,53,,,,,,
Mauritania,35,62,41,66,,40,28,1,15,4,83,24
Mauritius,14,,21,,,,,,,,,
Mexico,9,51,31,82,53,24,12,5,1,0,,
Micronesia (Federated States of),11,,,,,,,,,,,
Monaco,6,,,,,,,,,,,
Mongolia,5,71,47,95,35,53,11,11,1,0,38,80
Montenegro,5,14,17,95,66,9,9,22,3,1,,
Montserrat,,,,,,,,,,,,
Morocco,15,30,28,86,,25,15,11,2,1,,
Mozambique,17,69,41,95,11,52,43,8,6,2,99,43
Myanmar,9,67,51,75,16,64,29,1,7,1,88,81
Namibia,16,71,49,80,13,21,23,4,7,3,,74
Nauru,27,76,67,,,65,24,3,1,0,,
Nepal,18,55,66,84,32,89,36,1,10,2,79,94
Netherlands,6,,,,,,,,,,,
New Zealand,6,,,,,,,,,,,
Nicaragua,8,68,32,,,43,23,6,2,1,3,
Niger,27,53,23,,6,50,42,3,10,2,99,59
Nigeria,15,33,17,67,10,35,33,2,7,2,76,93
Niue,,,,,,,,,,,,
Norway,5,,,,,,,,,,,
Oman,10,71,33,90,,48,14,4,8,2,,
Pakistan,32,18,38,66,15,56,45,5,11,3,98,69
Palau,7,,,,,,,,,,,
Panama,8,47,22,61,,34,19,,1,0,,
Papua New Guinea,11,,56,,,72,50,14,14,7,,
Paraguay,6,47,24,,,14,11,12,3,0,,93
Peru,7,55,68,78,53,55,14,7,1,0,,90
Philippines,21,50,34,90,,41,33,4,7,2,72,52
Poland,6,,,,,,,,,,,
Portugal,9,,,,,,,,,,,
Qatar,8,34,29,50,,32,,,,,,
Republic of Korea,4,,,,,,3,7,1,0,,
Republic of Moldova,6,61,36,62,,12,6,5,2,1,,58
Romania,8,12,16,,,,13,8,4,1,,
Russian Federation,6,,,,,,,,,,,
Rwanda,7,81,87,57,19,87,37,8,2,1,96,91
Saint Kitts and Nevis,10,,,,,,,,,,,
Saint Lucia,10,50,,,,,3,6,4,1,,75
Saint Vincent and the Grenadines,11,,,,,,,,,,,
Samoa,10,88,51,,,74,5,5,4,1,,96
San Marino,10,,,,,,,,,,,
Sao Tome and Principe,10,38,74,74,22,24,17,2,4,1,42,91
Saudi Arabia,9,,,,,,9,6,12,5,,
Senegal,19,31,33,63,10,48,17,1,7,1,29,57
Serbia,6,51,13,97,72,9,6,14,4,1,,
Seychelles,,,,,,,8,10,4,1,,
Sierra Leone,11,54,32,63,7,48,38,9,9,4,97,74
Singapore,10,,,,,,4,3,4,1,,
Slovakia,8,,,,,,,,,,,
Slovenia,6,,,,,,,,,,,
Solomon Islands,13,75,74,,,67,32,4,8,3,,
Somalia,,23,5,16,,27,25,3,15,5,33,7
South Africa,,61,32,,23,13,27,13,3,1,,
South Sudan,,48,45,21,,38,31,6,23,10,,60
Spain,8,,,,,,,,,,,
Sri Lanka,17,80,76,,,84,17,2,15,3,74,
State of Palestine,9,41,39,90,42,12,7,8,1,0,,88
Sudan,,69,55,51,15,49,38,3,16,5,72,34
Suriname,14,45,3,47,,15,9,4,5,1,,
Swaziland,9,48,64,90,38,8,26,9,2,0,,90
Sweden,5,,,,,,,,,,,
Switzerland,7,,,,,,,,,,,
Syrian Arab Republic,10,46,43,,,25,28,18,12,6,,
Tajikistan,10,50,34,49,20,50,27,7,10,4,97,84
Thailand,11,40,23,85,56,16,11,8,5,1,,85
The former Yugoslav Republic of Macedonia,6,21,23,41,,13,5,12,2,0,,
Timor-Leste,12,93,62,97,18,39,50,2,11,2,61,76
Togo,11,61,58,67,12,61,28,2,7,2,6,77
Tokelau,,,,,,,,,,,,
Tonga,,79,52,,,30,8,17,5,2,,
Trinidad and Tobago,12,41,13,83,,22,5,5,5,1,,53
Tunisia,7,40,9,27,,19,10,14,3,2,,
Turkey,11,50,30,75,,34,10,11,2,0,,85
Turkmenistan,5,73,59,82,77,20,12,6,4,1,,100
Turks and Caicos Islands,,,,,,,,,,,,
Tuvalu,6,15,35,,,51,10,6,3,1,,
Uganda,12,53,66,67,14,43,29,4,4,1,,92
Ukraine,5,66,20,43,,22,4,27,0,4,,36
United Arab Emirates,6,,,,,,,,,,,
United Kingdom,7,,,,,,,,,,,
United Republic of Tanzania,8,51,59,92,9,43,34,4,5,1,87,76
United States,8,,24,,,,2,6,1,0,,
Uruguay,8,77,,,,,11,7,1,0,,
Uzbekistan,5,67,26,47,,38,20,13,5,2,98,82
Vanuatu,10,85,73,72,,49,29,5,4,1,,33
Venezuela (Bolivarian Republic of),9,,,,,,13,6,4,,,
Viet Nam,5,27,24,91,59,22,25,5,6,1,97,61
Yemen,32,53,10,69,15,45,47,2,16,5,8,49
Zambia,11,66,73,82,11,42,40,6,6,3,,88
Zimbabwe,11,58,48,91,8,14,27,6,3,1,45,93
